name,position,team,salary,projection
QB_ARI_00,QB,ARI,9100,23.6
QB_ATL_01,QB,ATL,8700,22.8
QB_BAL_02,QB,BAL,8400,20.8
QB_BUF_03,QB,BUF,8300,23.3
QB_CAR_04,QB,CAR,8000,22.3
QB_CHI_05,QB,CHI,7700,20.5
QB_CIN_06,QB,CIN,7600,16.3
QB_CLE_07,QB,CLE,7200,19.0
QB_DAL_08,QB,DAL,6400,14.6
QB_DEN_09,QB,DEN,6400,15.1
QB_DET_10,QB,DET,6300,16.2
QB_GB_11,QB,GB,5900,15.7
QB_HOU_12,QB,HOU,5800,14.5
QB_IND_13,QB,IND,5900,12.1
QB_JAX_14,QB,JAX,5500,13.2
QB_KC_15,QB,KC,4800,10.5
QB_ARI_16,QB,ARI,4600,10.1
QB_ATL_17,QB,ATL,4500,10.8
QB_BAL_18,QB,BAL,3900,8.3
QB_BUF_19,QB,BUF,4200,7.3
QB_CAR_20,QB,CAR,3600,6.0
QB_CHI_21,QB,CHI,2900,7.2
QB_CIN_22,QB,CIN,3400,5.7
QB_CLE_23,QB,CLE,2700,1.6
RB_ARI_00,RB,ARI,8800,23.8
RB_ATL_01,RB,ATL,8800,24.4
RB_BAL_02,RB,BAL,8900,20.8
RB_BUF_03,RB,BUF,8800,23.8
RB_CAR_04,RB,CAR,8500,24.6
RB_CHI_05,RB,CHI,8000,22.1
RB_CIN_06,RB,CIN,8000,22.5
RB_CLE_07,RB,CLE,7700,20.4
RB_DAL_08,RB,DAL,7800,19.1
RB_DEN_09,RB,DEN,7300,22.3
RB_DET_10,RB,DET,7700,17.5
RB_GB_11,RB,GB,7700,21.7
RB_HOU_12,RB,HOU,6700,16.0
RB_IND_13,RB,IND,7100,19.2
RB_JAX_14,RB,JAX,7300,16.4
RB_KC_15,RB,KC,7000,19.5
RB_ARI_16,RB,ARI,6900,17.7
RB_ATL_17,RB,ATL,6900,19.5
RB_BAL_18,RB,BAL,6700,17.3
RB_BUF_19,RB,BUF,6700,13.6
RB_CAR_20,RB,CAR,6400,17.2
RB_CHI_21,RB,CHI,6000,12.1
RB_CIN_22,RB,CIN,5600,16.2
RB_CLE_23,RB,CLE,6100,14.1
RB_DAL_24,RB,DAL,6200,11.9
RB_DEN_25,RB,DEN,5600,14.5
RB_DET_26,RB,DET,5600,13.7
RB_GB_27,RB,GB,5600,12.9
RB_HOU_28,RB,HOU,5100,11.3
RB_IND_29,RB,IND,5100,13.6
RB_JAX_30,RB,JAX,5200,10.1
RB_KC_31,RB,KC,4700,13.4
RB_ARI_32,RB,ARI,4600,8.5
RB_ATL_33,RB,ATL,4500,10.0
RB_BAL_34,RB,BAL,4100,12.1
RB_BUF_35,RB,BUF,3900,11.4
RB_CAR_36,RB,CAR,4300,7.7
RB_CHI_37,RB,CHI,4200,10.4
RB_CIN_38,RB,CIN,3900,8.7
RB_CLE_39,RB,CLE,3900,8.0
RB_DAL_40,RB,DAL,3700,7.1
RB_DEN_41,RB,DEN,3400,7.8
RB_DET_42,RB,DET,3500,7.7
RB_GB_43,RB,GB,3300,9.3
RB_HOU_44,RB,HOU,2900,5.0
RB_IND_45,RB,IND,3100,5.2
RB_JAX_46,RB,JAX,2900,4.3
RB_KC_47,RB,KC,2000,7.4
WR_ARI_00,WR,ARI,9100,22.2
WR_ATL_01,WR,ATL,9000,24.3
WR_BAL_02,WR,BAL,9000,22.7
WR_BUF_03,WR,BUF,8600,23.5
WR_CAR_04,WR,CAR,8700,26.7
WR_CHI_05,WR,CHI,8500,21.6
WR_CIN_06,WR,CIN,8400,21.8
WR_CLE_07,WR,CLE,8200,17.5
WR_DAL_08,WR,DAL,7900,23.2
WR_DEN_09,WR,DEN,8400,21.2
WR_DET_10,WR,DET,8400,22.3
WR_GB_11,WR,GB,7800,17.9
